Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temp,K
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,600,21
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,700,26
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,800,26
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,900,26
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,950,27
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,1000,28
0.8,0.5,16,0,8,0.2,0,0.5,0.5,2.5,0.2,0,70.8,200,14.1
0.8,0.5,16,0,8,0.2,0,0.5,0.5,2.5,0.2,0,70.8,400,16.9
0.8,0.5,16,0,8,0.2,0,0.5,0.5,2.5,0.2,0,70.8,600,19.8
0.8,0.5,16,0,8,0.2,0,0.5,0.5,2.5,0.2,0,70.8,700,21.3
0.8,0.5,16,0,8,0.2,0,0.5,0.5,2.5,0.2,0,70.8,800,22.7
0.8,0.5,16,0,8,0.2,0,0.5,0.5,2.5,0.2,0,70.8,900,24
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,25,12.3
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,100,13.8
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,200,15.6
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,300,17.5
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,400,19.4
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,500,21.5
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,600,23.9
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,149,11.5
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,204,12.5
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,260,13.6
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,316,14.7
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,427,16.8
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,538,18.8
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,593,20
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,649,21
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,704,22
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,760,23.1
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,816,24.1
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,871,25.1
